Ticker;Name;Ticker_Min;ISIN;GICS_Sector;GICS_Industry
VIVT3 BS Equity;Telefonica Brasil SA;VIVT3   BZ;BRVIVTACNOR0;Communication Services;Diversified Telecommunication Services
TIMS3 BS Equity;TIM SA/Brazil;TIMS3   BZ;BRTIMSACNOR5;Communication Services;Wireless Telecommunication Services
TOTS3 BS Equity;TOTVS SA;TOTS3   BZ;BRTOTSACNOR8;Information Technology;Software
TAEE11 BS Equity;Transmissora Alianca de Energia Eletrica;TAEE11  BZ;BRTAEECDAM10;Utilities;Electric Utilities
UGPA3 BS Equity;Ultrapar Participacoes SA;UGPA3   BZ;BRUGPAACNOR8;Energy;Oil, Gas & Consumable Fuels
USIM5 BS Equity;Usinas Siderurgicas de Minas Gerais SA U;USIM5   BZ;BRUSIMACNPA6;Materials;Metals & Mining
VALE3 BS Equity;Vale SA;VALE3   BZ;BRVALEACNOR0;Materials;Metals & Mining
VVAR3 BS Equity;Via Varejo S/A;VVAR3   BZ;BRVVARACNOR1;Consumer Discretionary;Specialty Retail
WEGE3 BS Equity;WEG SA;WEGE3   BZ;BRWEGEACNOR0;Industrials;Electrical Equipment
YDUQ3 BS Equity;YDUQS Participacoes SA;YDUQ3   BZ;BRYDUQACNOR3;Consumer Discretionary;Diversified Consumer Services
PSSA3 BS Equity;Porto Seguro AS;PSSA3 BZ;BRPSSAACNOR7;Financials;Insurance
CMIN3 BS Equity;CSN Mineracao AS;CMIN3 BZ;BRCMINACNOR2;Materials;Metals & Mining
AGRO3 BS Equity;BrasilAgro - Companhia Bras. De Prop.;AGRO3 BZ;BRAGROACNOR7;Consumer Staples;Food Products
SLCE3 BS Equity;SLC Agricola AS;SLCE3 BZ;BRSLCEACNOR2;Consumer Staples;Food Products
HBSA3 BS Equity;Hidrovias do Brasil AS;HBSA3 BZ;BRHBSAACNOR0;Industrials;Marine
SAPR4 BS Equity;Cia de Saneamento do Parana;SAPR4 BZ;BRSAPRACNPR6;Utilities;Water Utilities
